time,open,high,low,close,Volume,VWAP,VWAP_Upper1,VWAP_Lower1,VWAP_Upper2,VWAP_Lower2,EMA_8,EMA_20,EMA_50,EMA_200,ATR_14,RVOL,VIX,NQ,RTY,US10Y,DXY
1771867440,6849.5,6850,6847.75,6847.75,1291,6879.944114217186,6904.074874259488,6855.813354174885,6928.20563430179,6831.682594132582,6849.177375267589,6849.599397737677,6850.7807488800545,6865.970529107707,3.252787666489219,0.6729390914540384,21.3,24749,2607.9,4.029,97.634
1771867500,6847.75,6850,6847.5,6849.25,1614,6879.903195965356,6904.043858781599,6855.762533149113,6928.184521597843,6831.621870332869,6849.193514097014,6849.566121762659,6850.720719512209,6865.80415568375,3.1990171188828462,0.865183596890914,21.26,24755.75,2608.5,4.029,97.647
1771867560,6849.25,6849.5,6846.5,6848,1798,6879.855887611834,6904.009861925453,6855.701913298215,6928.163836239071,6831.547938984597,6848.928288742121,6849.416967309073,6850.614024629377,6865.626999905802,3.1848016103912147,0.9876407580335073,21.33,24749,2608.5,4.029,97.661
1771867620,6848,6850.25,6847.5,6848.25,1337,6879.821075150204,6903.984496622094,6855.657653678313,6928.147918093984,6831.4942322064235,6848.777557910539,6849.305827565351,6850.5213177811665,6865.454094434102,3.153744352506128,0.7494814731767475,21.28,24749.75,2608.5,4.027,97.661
1771867680,6848,6848.25,6846.25,6847.5,1444,6879.782671545051,6903.957388877598,6855.607954212504,6928.132106210145,6831.433236879957,6848.493656152642,6849.133843987699,6850.402834730925,6865.27544672829,3.071334041612833,0.8200584944770992,21.35,24748,2607.5,4.027,97.656
1771867740,6847.5,6847.5,6846,6846.25,1280,6879.747390621032,6903.933830850795,6855.560950391268,6928.120271080559,6831.374510161504,6847.995065896499,6848.859192179347,6850.239978466967,6865.086138800645,2.959095895783345,0.7409551374819102,21.36,24743,2606.5,4.027,97.654
1771867800,6846.25,6846.75,6845,6845.5,2209,6879.685318416255,6903.893696844324,6855.476939988185,6928.102075272393,6831.268561560116,6847.440606808388,6848.539269114647,6850.054096958458,6864.891251847405,2.872731903227392,1.2645257312954377,21.39,24739.5,2605.6,4.025,97.664
1771867860,6845.5,6846.5,6844,6846.25,2627,6879.613405910714,6903.845293342179,6855.38151847925,6928.077180773644,6831.149631047785,6847.176027517635,6848.321243484681,6849.9049166855775,6864.705766754396,2.846108195854007,1.4793332582498029,21.38,24738,2606.7,4.029,97.664
1771867920,6846.25,6846.5,6844,6844.75,1465,6879.571639637445,6903.819016674923,6855.3242625999665,6928.066393712401,6831.076885562488,6846.636910291494,6847.9811250575685,6849.702763090065,6864.5072019110685,2.8213861818644346,0.8347816177099062,21.44,24732,2606.3,4.029,97.663
1771867980,6844.75,6846,6844.25,6844.25,1313,6879.53375546383,6903.795688609494,6855.2718223181655,6928.057621755159,6831.009889172501,6846.106485782273,6847.62577981399,6849.488929243395,6864.305637712949,2.744858597445546,0.7554660529344074,21.42,24731.25,2606.6,4.029,97.668
1771868040,6844.25,6844.5,6841.75,6843,3235,6879.437466902174,6903.739698997634,6855.135234806713,6928.041931093094,6830.833002711253,6845.416155608435,6847.185229355515,6849.234461429929,6864.093641317795,2.74522584048515,1.8616562122345628,21.5,24722.75,2606,4.025,97.664
1771868100,6842.75,6843,6840.25,6841,2813,6879.3495775197425,6903.693335848629,6855.005819190856,6928.037094177516,6830.662060861969,6844.434787695449,6846.596159893084,6848.911541373854,6863.863853841996,2.745566851879068,1.5852799458987292,21.57,24710,2605.3,4.025,97.68
1771868160,6841,6841.75,6838.25,6838.5,3146,6879.245382002804,6903.64522741787,6854.845536587738,6928.045072832935,6830.445691172673,6843.115945985349,6845.825097046124,6848.503245633702,6863.611477186852,2.7994549338877057,1.7058424833943338,21.63,24700.75,2604.4,4.025,97.688
1771868220,6838.5,6838.5,6835.25,6836.25,3332,6879.129542181573,6903.598207718676,6854.66087664447,6928.066873255781,6830.192211107365,6841.5901802108265,6844.913183041731,6848.022726197087,6863.339223682506,2.831636724324298,1.7482095542905112,21.76,24688.75,2603.4,4.025,97.674
1771868280,6836.25,6837.75,6835.25,6837,2860,6879.032338958657,6903.556202596986,6854.508475320329,6928.080066235315,6829.984611682,6840.570140163976,6844.1595465615665,6847.590462424652,6863.077141854819,2.8079483868725625,1.456026473208604,21.72,24686.75,2604.4,4.021,97.681
1771868340,6837,6839,6835.25,6835.25,3019,6878.925965441593,6903.514675143208,6854.337255739978,6928.103384844822,6829.748546038363,6839.387886794204,6843.311018317608,6847.106522721725,6862.800254871189,2.8752377878102364,1.4851436442345534,21.66,24681.5,2603,4.021,97.68
1771868400,6835.25,6838.5,6835,6838.5,2739,6878.837051956468,6903.471608497637,6854.2024954152985,6928.1061650388065,6829.567938874129,6839.190578617714,6842.852826096883,6846.769012026755,6862.558461290381,2.919863660109505,1.3180626067707706,21.67,24687,2604.6,4.023,97.678
1771868460,6838.5,6843,6838.25,6841,4862,6878.689903678872,6903.389039225889,6853.990768131855,6928.088174772905,6829.291632584838,6839.592672258222,6842.676366468609,6846.542776261,6862.343949237741,3.0505876843873976,2.1592095037193295,21.58,24703.5,2606.2,4.021,97.669
1771868520,6841.25,6844.25,6840.25,6843.25,2991,6878.605318532634,6903.335498862483,6853.875138202784,6928.065679192333,6829.144957872934,6840.405411756395,6842.730998233503,6846.413647780176,6862.153959693087,3.1184028497882976,1.2756157372854249,21.53,24713,2607,4.021,97.666
1771868580,6843.25,6846.25,6842,6845.25,3223,6878.519753750178,6903.275756601471,6853.7637508988855,6928.031759452763,6829.007748047593,6841.48198692164,6842.970903163646,6846.368014533894,6861.985761089176,3.1992312176605617,1.3263920325939338,21.43,24723.25,2607.7,4.021,97.673
1771868640,6845.25,6845.75,6840.75,6840.75,2876,6878.433493702369,6903.226851363926,6853.640136040812,6928.020209025482,6828.846778379256,6841.319323161276,6842.759388576632,6846.147700238447,6861.774459983811,3.3278575592562363,1.1462048901022257,21.5,24701,2604.8,4.019,97.672
1771868700,6840.75,6844.5,6840.75,6844.25,1923,6878.381373066732,6903.19169883335,6853.571047300114,6928.002024599967,6828.7607215334965,6841.970584680992,6842.901351569333,6846.073280621254,6861.600087247653,3.358010590737934,0.7617048245266577,21.53,24717.25,2606.8,4.021,97.667
